Years,A,B,DOC,Fa,Fal,Fbm,Fl,Flb,Fld,Flm,Fpa,Fpl,M,P,ksstr,lk,phi,s
1828,359.0538367265452,6.938698240908718,171.10457937479177,0.12282626063893995,0.003363065424279172,0.038162512905399314,0.00016060375842997585,0.11311786563541049,0.973512219637776,0.9602339980518771,0.12080704481787319,0.04141598066972169,1206.375789315893,4.62274922689229,0.0,4.9594584512982504e-08,0.5140000000000458,0.3305373107354308
1829,357.50003315651014,6.993626917651002,170.95989330046712,0.1122636153456581,0.0030890454085102832,0.03846520751777931,9.005495901660256e-05,0.10666563354757087,0.9710594960258885,0.9686094914455052,0.11290883441396203,0.03882115843733557,1203.336825391758,4.689933434641893,0.0,2.774574033271791e-08,0.5140000000000458,0.3032719739985125
1830,356.7485211068609,6.632367340505598,169.3391757311614,0.11437948550753466,0.003043088365664215,0.03647820552797579,5.553343813903027e-05,0.10191501596074912,0.9710156083116933,0.9747636255716902,0.1156583373117527,0.038399120185580664,1203.282697987237,4.7091706330384,0.0,1.6710733444667393e-08,0.5140000000000458,0.306733778061813
1831,355.67554279726113,6.630593598292459,164.8246954518202,0.12824750335157095,0.0034127128675653135,0.036467994256666206,0.0006292859483117062,0.10756716001517323,0.973418945593145,0.9801972248644252,0.12648200084948485,0.041922686861249454,1206.2610398073232,4.563564433582715,0.0,2.2896382000942601e-07,0.5140000000000458,0.3566931738888641
1832,354.1309418467836,6.581059027771327,166.8591234796406,0.10985966894682382,0.002909592755877391,0.03619630955557803,9.456104178335656e-05,0.09737248545494757,0.9703635738673088,0.9507261271808868,0.11171712414201856,0.036760723691443856,1202.473722509425,4.681211577027455,0.0,3.13923036559568e-08,0.5140000000000458,0.30141874951887293
1833,354.94023061531936,5.590429816766032,170.2571019930807,0.10439554459469798,0.0024742610159632855,0.030747910752095025,6.686126307446358e-05,0.08103442699795986,0.9684098623164544,0.9831225960853897,0.11127609826744658,0.03282722193734617,1200.0541144131241,4.928766128278737,0.0,2.037836955960814e-08,0.5140000000000458,0.2898123471247244
1834,355.9153684380897,5.3400379163833325,167.26304310491048,0.11846763507009125,0.002726863064061352,0.029370242719585212,7.156331196391329e-05,0.08348884546380406,0.9721376324272125,0.9661408818586322,0.12260938516593592,0.0351755400042035,1204.672704239193,4.799005624126262,0.0,2.132930297271439e-08,0.5140000000000458,0.3168183620363961
1835,356.61434964851566,5.250599697038709,169.450506508515,0.1159242181175688,0.00263827603593591,0.028878391647349826,0.00036567263793243907,0.08134629962222709,0.9716331519148339,0.9694930187934361,0.12094478278776713,0.03433929474898705,1204.0477126806497,4.860635547569641,0.0,1.4329617993153616e-07,0.5140000000000458,0.31583026916316276
1836,358.0362884823451,4.916329053316309,172.82834686888975,0.1116676323287158,0.0024248914839734344,0.02703994989782125,2.2748364888809915e-05,0.07551024128893409,0.9706696572526761,0.9837978549983422,0.11918960727621065,0.032366888727585544,1202.8543862757554,5.005791548529864,0.0,5.727313004533702e-09,0.5140000000000458,0.29857025740494486
1837,359.19844387339924,5.1321649492577714,170.79472390058012,0.12488821250326665,0.0027945850545314523,0.02822659157479726,0.00013882861227582116,0.08458273275493645,0.9737570145824784,0.9689665947526257,0.12849736238665002,0.036017855588968264,1206.6794928697875,4.84266207549414,0.0,4.19367582325094e-08,0.5140000000000458,0.33273543973553293
1838,359.2868905329263,5.453629603329041,172.30463846691276,0.12175793996718548,0.002842425524109189,0.029994849193977408,0.001347630502154416,0.08711618418004392,0.9730944058637655,0.9762668451419471,0.12493917190889386,0.03654709652244669,1205.8587199313454,4.832199892153309,0.0,5.462279362572121e-07,0.5140000000000458,0.33846702842459786
1839,359.6237824919537,5.558898886082373,174.18114122348322,0.1159494171685739,0.0027432986029313987,0.03057391846796468,0.00045190012857835964,0.0876707965179102,0.9719701575955181,0.9754331210285412,0.12005445883747957,0.0356049302463245,1204.4655635825163,4.889426495926356,0.0,1.6184371381305448e-07,0.5140000000000458,0.3183045201240498
1840,359.5749138297674,5.848179479731371,171.96260364905538,0.12460179454317015,0.0030504620830157456,0.032164690994687994,0.0008414872634708748,0.09559130000019252,0.9735878457179447,0.979375566636969,0.12601492269670853,0.03867352631264552,1206.4702995687192,4.7636165283237135,0.0,3.2360174949281616e-07,0.5140000000000458,0.3415667314284541
1841,358.63808358308023,6.282951865352369,171.01232141353097,0.12143931729612575,0.0031172443604569077,0.034556048848008655,0.0004040480164400513,0.10105565868392691,0.9733654655239854,0.9592821147846161,0.12158339438634795,0.039069755783662986,1206.1938980710345,4.694113787254842,0.0,1.4673596130198799e-07,0.5140000000000458,0.32828391582056793
1842,358.186390278179,6.210236173890158,172.7166772613184,0.11178102325920992,0.002849051960886878,0.03415647215540558,5.130549570846271e-05,0.09543055616676355,0.9710942737915316,0.9682071841940497,0.1146464413225544,0.03654806024267245,1203.3799037870692,4.8062503500656595,0.0,1.4599447524395746e-08,0.5140000000000458,0.30110635090046756
1843,358.1445328905588,6.077943626973772,171.38143200089075,0.11760012529638197,0.0029551170854936414,0.033428637569816635,9.895728058871475e-05,0.096163424195661,0.9717771322036745,0.9868834960841055,0.12008468120350047,0.03774053182556954,1204.2268516586219,4.783212060798147,0.0,2.90577826294639e-08,0.5140000000000458,0.3159318337151104
1844,357.76067940492294,6.135435162402214,170.1889805735626,0.11896357791161195,0.0030083105946121834,0.033744811054004044,0.0001375077955260145,0.09744031261934674,0.9721804275420532,0.9745904270158378,0.12062913904106731,0.03812539285178506,1204.7260862267597,4.744978183986049,0.0,4.175188833034226e-08,0.5140000000000458,0.3215600578761261
