Years,A,B,DOC,Fa,Fal,Fbm,Fl,Flb,Fld,Flm,Fpa,Fpl,M,P,ksstr,lk,phi,s
1864,361.46391650458577,5.70882731431785,180.30436855400106,0.12071483646065788,0.0029088401798058137,0.03139850027296528,0.002020317013819918,0.09033282612745701,0.9735909933282352,0.9875127543641928,0.12355008827458606,0.0374271500883382,1206.474539005721,4.8690680441955285,0.04981233563562,8.754617290275016e-07,0.5055347039595139,0.32726332701687066
1865,362.0896843265268,5.293951323545924,184.7294080334885,0.10535769412642221,0.0024064248724971695,0.029117026378452208,2.5485280880427987e-05,0.07952481573491132,0.9706788746318769,0.9771921339104902,0.11249628872126685,0.03233844723786971,1202.8655328296236,5.1040550419237425,0.05030421553411252,6.7047413169879345e-09,0.505589357281567,0.28581583228986834
1866,363.0518241247685,5.4029905631151856,181.6919624987675,0.11928213258279813,0.0027669027362340302,0.029716304557756208,0.00016962260926822872,0.08669330915579965,0.9740381769990443,0.9620398570197556,0.12260749072825547,0.03584548276844609,1207.0276090072223,4.9255708221076056,0.051064441538650106,5.546186120713889e-08,0.5056738268376268,0.3165700485418582
1867,363.02354562412404,5.802320744594425,181.05690892577377,0.12350064737823825,0.0030065710981781956,0.03191239456442658,0.00013833449263874492,0.095785407965766,0.9745386273910557,0.9760651381728308,0.12511809485940434,0.0383843247117572,1207.6483306676098,4.846853171904295,0.05104209050077757,4.038811204200381e-08,0.5056713433889765,0.3309952998995087
1868,362.1685973743651,6.297913402046919,180.40545295337452,0.1222643952025921,0.003144276770450646,0.03463822372625099,0.000119997757283341,0.10270642632023691,0.9740064196119997,0.9864800155420625,0.12280503614833688,0.039753353097875435,1206.9892749163596,4.7839670693383045,0.05036544474587392,3.5535549417878126e-08,0.5055961605273215,0.32428653585978195
1869,360.83789308896064,6.71550464149228,177.8936702111732,0.12072080546658107,0.003237133042463875,0.036935208640661445,0.0004142695134376261,0.10636309019655922,0.9742626094194702,0.9486746263779604,0.11930932836922292,0.04018533713204206,1207.3051594266522,4.6824037041404,0.049326352562353314,1.4215136421187561e-07,0.5054807058402586,0.33229955223207414
1870,359.3518848436678,6.749714575455381,176.70646518095225,0.12311324086206404,0.0033113648695290905,0.03712325937429714,0.0006127032903897625,0.10819579404428262,0.9735367811053032,0.9954834144566347,0.12246308086757952,0.041274720916237455,1206.407693588748,4.67934245493967,0.048184636079986444,2.3423260524673596e-07,0.505353848453331,0.33425372164866907
1871,357.88363036944634,6.822490698057591,175.45915409032443,0.1161062744627286,0.003145614719924225,0.03752383972816719,3.282989595524571e-05,0.1054544343326083,0.9726723921953064,0.9660989454695826,0.11612278209536753,0.03932955501474313,1205.3353545148057,4.675646171908593,0.047076133325506794,8.8405596638692e-09,0.5052306814806098,0.3097488412119965
1872,356.54848921652274,6.739597644716121,171.73664578770547,0.12562406076075003,0.003375870224734435,0.03706770757478695,0.0011062655271836944,0.10689854509087511,0.9741833925951046,0.9731632401969306,0.12385026688054233,0.04152498429211896,1207.208017597508,4.573961792643233,0.04608656045197691,4.802981225440966e-07,0.5051207289391075,0.3456019602631391
1873,355.3953423275613,6.316129386284245,173.41485388915237,0.11253836702418445,0.0028982126612082174,0.034739228259142794,0.004181902090372569,0.09281377949395068,0.9714803464567284,0.9732943416850633,0.11504387551766536,0.036892302573960326,1203.8585209123087,4.7286929839120475,0.0452424579942835,2.1397506445760836e-06,0.5050269397771421,0.31279441438398253
